GM,EntryYear,EntryClub,PlayersDrafted,NorthStar,NorthStarRank,PERC,FBC,Mental,WorkEthic,Passion,Coach,Teammate,Leader,Dependability,Confidence,LifeSkills,ManagementOfCollegeLife,Relationships,OffField,MentalOverall,SDTotal,CombineInvites,UCWatch,EntryAge,SRB,isPower5,isFBS,isFCS,isD2,HTAvg,WTAvg,ArmAvg,Avg40Avg,OL,DL,OLB,ILB,DS,DC,RB,WR,QB,TE,GS,GP,GM2,GMI,GMO,GPI,GI,AvgEvalCount,NormalizedAvg,AAAvg,EXPAvg,SpdAvg,StrAvg,CmpsAvg,TghsAvg,FBIAvg,Day1PicksPercentile,Day2PicksPercentile,Day3PicksPercentile,avgEPAR
Thomas Dimitroff,2019,ATL,7,2.053634871,83,2,2.071428,2.142857,1.785714,1.928571,2,2.071428,2.571428,1.857142,2.5,2,1.928571,2.142857,1.785714,NULL,2.396162365,0.857142857,0.142857143,23.257142,0.428571429,0.714285714,0.857142857,0,0.142857143,40,44,46,32,2,1,0,0,0,2,1,0,0,0,35.14285714,45,9.571428571,1.714285714,0,2.714285714,0,6.428571429,4.661428,2.314285,2.914285,2.457142,2.7,2.257142,2.614285,2.885714,0.285714286,0,0.714285714,0.649417093
Thomas Dimitroff,2020,ATL,6,1.982662539,57,1.84,1.86,2.1,1.8,1.8,2,1.8,2.1,1.8,1.8,1.94,1.9,1.94,1.84,2.1,0.347787966,1,0.333333333,22.783333,0.333333333,0.666666667,1,0,0,45,63,55,43,1,1,0,1,1,1,0,0,0,0,32.83333333,46.83333333,9,1.333333333,4.333333333,0.333333333,1.333333333,8.5,4.134,2.8,3.08,2.98,2.98,2.46,2.74,2.82,0.166666667,0.333333333,0.5,0.790409581
Terry Fontenot,2021,ATL,9,2.083632898,96,2.133333,2.077777,1.888888,2.166666,1.833333,1.722222,2,2.722222,2.055555,1.888888,2.333333,1.966666,1.911111,2.022222,2.166666,2.958956038,0.888888889,0.444444444,22.555555,0.555555556,0.666666667,1,0,0,48,54,45,46,2,2,1,0,1,2,0,0,0,1,24.55555556,37.55555556,12.88888889,1.333333333,0.333333333,0.333333333,0.666666667,8.111111111,4.023333,2.733333,2.944444,3,3.111111,2.611111,2.777777,2.877777,0.111111111,0.222222222,0.666666667,0.709930894
Terry Fontenot,2022,ATL,8,1.974509804,53,1.8125,1.9625,2,1.75,2,1.875,1.5,2.375,1.625,2.25,1.875,1.8125,2,2,2.3125,3.224384588,0.875,0.375,23.0375,0.625,0.5,0.875,0.125,0,35,41,37,36,1,2,2,1,0,0,1,0,1,1,29.875,44.5,10.875,2.5,0.25,0.125,0.875,7.375,3.83,2.8875,2.9875,3.0125,3.025,2.3625,2.6375,2.875,0.125,0.5,0.375,0.856749645
Terry Fontenot,2023,ATL,6,2.160130719,130,2.116666,1.9,2,2.166666,1.833333,2.166666,2.666666,2.833333,1.833333,1.5,2.166666,2.25,2.083333,2.166666,2.333333,1.297958514,1,0.333333333,22.766666,0.5,1,1,0,0,52,47,54,43,2,1,1,0,1,1,1,0,0,0,33.5,42.33333333,4.166666667,0.833333333,0.333333333,0.333333333,1,8.5,3.666666,2.8,2.8,3,2.966666,2.6,2.8,2.966666,0.166666667,0.333333333,0.5,0.72015933
Terry Fontenot,2024,ATL,8,2.129173654,117,2.1625,2.1,2.125,2.25,2,1.875,2,2.25,1.875,2,2.25,2.3125,2.1875,2.1875,2.25,0.781818174,0.875,0.125,23.4,0.375,1,1,0,0,45,50,48,45,0,4,1,1,0,0,1,0,1,0,29.5,50.25,12.75,4.625,0.75,1,1.5,7.625,4.4875,3.0625,3.1375,3.2875,2.9125,2.75,2.85,3.1625,0.125,0.25,0.625,0.666303731
Ozzie Newsome,2017,BLT,7,2.321428571,203,2.214285,2.285714,2.071428,2,2,2.214285,2.142857,2.785714,2.142857,2.357142,2.428571,2.714285,2.357142,2.285714,NULL,4.050594393,1,0.142857143,22.785714,0.428571429,0.714285714,1,0,0,55,47,46,52,2,3,2,0,1,1,0,0,0,0,25.71428571,42.28571429,6.714285714,0,0,0,0,4.571428571,3.904285,2.071428,2.585714,2.471428,2.285714,2.314285,2.357142,2.714285,0.142857143,0.428571429,0.428571429,0.81482844
Ozzie Newsome,2018,BLT,12,2.241673182,174,2.275,2.266666,2.25,2,2.083333,2.066666,2.291666,2.65,2.066666,2.108333,2.391666,2.375,2.233333,2.15,NULL,-2.523155107,0.833333333,0.583333333,23.083333,0.25,0.75,0.833333333,0.083333333,0.083333333,35,48,40,55,3,1,0,1,1,1,0,0,1,2,26.33333333,35.25,7.25,0,0,0.083333333,0,4.833333333,4.185,2.466666,2.791666,2.491666,2.916666,2.241666,2.458333,2.6,0.166666667,0.166666667,0.666666667,0.801856544
Eric DeCosta,2019,BLT,8,2.194439104,154,2.1875,2.225,2.2875,2.0625,1.85,2.1875,2.025,2.5625,1.975,2.1,2.375,2.25,2.25,2.375,NULL,1.62657123,1,0.375,22.8,0.625,0.875,1,0,0,55,45,50,45,1,2,1,0,1,0,1,0,1,0,31,42.375,7.25,1,1.25,2.25,0,7.875,3.9125,2.25,2.475,2.4375,2.7625,2.0125,2.0875,2.2625,0.125,0.25,0.625,0.788692966
Eric DeCosta,2020,BLT,10,2.160410217,131,2.2,2.24,2.1,2.1,2,1.8,2.3,2.6,1.8,1.8,2.45,2,2.15,2.2,2.15,0.36283801,1,0.4,22.62,0.6,0.9,1,0,0,65,53,69,45,2,2,0,2,1,0,1,0,0,0,29.4,44.1,5.5,0.2,3.9,0.7,0.4,9.9,4.126,2.97,3.13,3.16,2.83,2.61,2.64,2.85,0.1,0.5,0.4,0.789451521
