GM,EntryYear,EntryClub,PlayersDrafted,NorthStar,NorthStarRank,PERC,FBC,Mental,WorkEthic,Passion,Coach,Teammate,Leader,Dependability,Confidence,LifeSkills,ManagementOfCollegeLife,Relationships,OffField,MentalOverall,SDTotal,CombineInvites,UCWatch,EntryAge,SRB,isPower5,isFBS,isFCS,isD2,HTAvg,WTAvg,ArmAvg,Avg40Avg,OL,DL,OLB,ILB,DS,DC,RB,WR,QB,TE,GS,GP,GM2,GMI,GMO,GPI,GI,AvgEvalCount,NormalizedAvg,AAAvg,EXPAvg,SpdAvg,StrAvg,CmpsAvg,TghsAvg,FBIAvg,Day1PicksPercentile,Day2PicksPercentile,Day3PicksPercentile,avgEPAR
Ryan Pace,2020,CHI,7,2.030075188,69,1.857142,1.885714,2.142857,1.714285,1.857142,1.714285,1.714285,2.285714,2,2,2.142857,2.071428,1.785714,1.928571,2.5,1.380354687,0.714285714,0.285714286,22.885714,0.285714286,0.428571429,0.857142857,0.142857143,0,53,62,42,39,2,1,1,0,0,2,0,0,0,1,26.85714286,39.85714286,6,2.142857143,3.857142857,1.428571429,0.571428571,8.714285714,4.295714,2.871428,3.171428,3.014285,3.285714,2.771428,2.871428,3.185714,0,0.285714286,0.714285714,0.730976567
Ryan Pace,2021,CHI,7,2.441176471,234,2.571428,2.471428,2.142857,2.642857,1.714285,2.285714,2.428571,2.857142,2.357142,2.071428,3.042857,2.528571,2.528571,2.671428,2.5,1.225467281,1,0.285714286,23.057142,0.285714286,0.857142857,1,0,0,62,39,59,44,2,1,0,0,0,1,1,0,1,0,28.57142857,41.85714286,7.428571429,0.714285714,1.714285714,0.571428571,1.285714286,7.857142857,4.092857,2.714285,3.071428,3.114285,2.814285,2.685714,2.842857,2.928571,0.142857143,0.142857143,0.714285714,0.768447573
Ryan Poles,2022,CHI,11,1.96944782,50,2.045454,1.936363,2.045454,1.90909,1.954545,1.90909,1.90909,2.590909,1.590909,1.818181,2.045454,1.863636,2,1.863636,2.090909,2.59170127,0.818181818,0.090909091,23.945454,0.363636364,0.636363636,0.818181818,0.181818182,0,51,52,51,38,4,1,1,0,2,1,1,0,0,0,24.45454545,45.72727273,9.363636364,1.818181818,0.636363636,0.636363636,0.818181818,7,4.667,2.95,3,3.02,3.3,2.62,2.88,3.05,0,0.272727273,0.727272727,0.686852508
Ryan Poles,2023,CHI,10,2.329411765,207,2.15,2.3,2.4,2.5,1.9,2.3,2.2,2.9,2.2,2.3,2.3,2.15,2.2,2.25,2.5,2.137130326,0.8,0.3,22.97,0.4,0.9,0.9,0.1,0,50,37,41,42,1,3,0,1,1,2,1,0,0,0,28.6,44.3,2.9,1.2,0.7,1.6,0.8,7.9,4.359,3.05,2.99,2.98,2.78,2.91,2.91,3.08,0.1,0.3,0.6,0.625187809
Ryan Poles,2024,CHI,5,1.82745098,16,1.6,2,1.6,1.6,1.6,2.2,2,2.4,2,1.6,1.4,1.6,1.5,1.7,2.3,0.811810837,1,0.6,23.3,0.4,0.8,0.8,0.2,0,50,47,40,50,1,1,1,0,0,0,0,0,1,0,17.6,33.6,6.8,1.8,0.2,0.2,0.4,6.6,3.09,2.675,2.95,2.85,2.825,2.325,2.725,2.5,0.4,0.2,0.4,0.815226603
Duke Tobin,2017,CIN,11,1.943629287,44,1.90909,1.890909,1.927272,1.754545,1.618181,1.927272,1.863636,2.545454,1.7,2.2,1.954545,2.045454,2,1.954545,NULL,4.11979458,0.636363636,0.363636364,22.590909,0.272727273,0.727272727,1,0,0,46,41,59,32,1,3,2,1,1,0,1,0,0,1,24.45454545,38.36363636,7.272727273,0,0,0,0,4.090909091,4.237272,2.563636,2.572727,2.481818,2.90909,1.963636,2.4,2.518181,0.090909091,0.181818182,0.727272727,0.738366562
Duke Tobin,2018,CIN,11,2.177931489,148,2.272727,2.20909,2.254545,1.754545,1.727272,2.318181,2.045454,2.681818,1.981818,2.527272,2.381818,2.090909,2.20909,2.136363,NULL,-0.124697112,1,0.454545455,22.763636,0.181818182,0.727272727,0.909090909,0.090909091,0,46,45,45,60,2,2,0,1,2,1,1,0,1,0,29.09090909,40.09090909,7.181818182,0,0,0.454545455,0,4.909090909,4.127272,2.281818,2.745454,2.636363,2.545454,2.2,2.390909,2.472727,0.090909091,0.272727273,0.636363636,0.732071146
Duke Tobin,2019,CIN,10,2.123169994,112,2.2,2.2,2.3,2,1.8,2.2,2.15,2.35,1.9,2.15,2.15,2.05,2.35,2.05,NULL,2.015871929,1,0.4,23.07,0.6,0.9,0.9,0.1,0,45,43,50,54,2,1,0,2,1,0,2,0,1,1,31.4,42.3,13.7,6.3,3.4,1.5,0,6.4,4.125,2.43,2.87,2.57,2.65,2.1,2.44,2.33,0.1,0.2,0.7,0.756605126
Duke Tobin,2020,CIN,7,1.93557423,41,1.785714,1.771428,2.142857,1.785714,1.357142,2.142857,1.928571,2.428571,1.5,2.142857,1.714285,1.857142,1.928571,1.857142,2,-0.632448325,1,0.142857143,22.985714,0.428571429,0.714285714,1,0,0,47,46,51,58,1,1,1,3,0,0,0,0,1,0,36.28571429,45.57142857,12,2.714285714,5.285714286,2.857142857,1.428571429,9.285714286,3.314285,2.785714,3.114285,2.942857,2.885714,2.342857,2.528571,2.414285,0.142857143,0.285714286,0.571428571,0.780188897
Duke Tobin,2021,CIN,10,2.247843137,177,2.4,2.3,2.25,2.45,1.95,2.15,2.05,2.55,2.3,1.9,2.45,2.27,2.02,2.37,2.35,1.384391618,1,0.7,22.35,0.4,0.8,1,0,0,52,42,50,66,3,4,2,0,0,0,1,0,0,0,21.5,35.2,7.2,2.3,1.2,0.4,1,8.3,3.84,2.733333,2.933333,2.988888,2.677777,2.5,2.633333,2.911111,0.1,0.2,0.7,0.742278863
Duke Tobin,2022,CIN,6,1.978948443,56,1.8,2.133333,1.833333,1.916666,1.75,1.833333,1.833333,2.5,1.75,1.75,1.916666,2.166666,1.666666,1.633333,2.383333,1.995226651,1,0.333333333,23.133333,0.5,0.5,0.833333333,0.166666667,0,35,50,35,39,1,2,1,0,2,1,0,0,0,0,30.33333333,47.5,6.833333333,0.833333333,2.166666667,0.5,0.666666667,8.5,4.035,2.833333,2.9,2.933333,2.866666,2.65,2.716666,2.933333,0.166666667,0.333333333,0.5,0.7126202
Duke Tobin,2023,CIN,8,2.170923633,136,2.3375,2.3875,2.375,2,1.875,2.375,2.125,2.5,1.75,2.125,2.125,2.1875,2.0625,2,2.125,4.080559501,0.875,0.375,23.4625,0.25,0.875,0.875,0.125,0,39,54,50,27,0,1,1,0,1,2,1,0,0,0,25,44.875,9.875,1.75,2.5,0.25,1.375,7.125,4.07125,2.9,3,2.914285,3.257142,2.7,3.142857,2.842857,0.125,0.25,0.625,0.733327515
Duke Tobin,2024,CIN,10,2.289535604,192,2.55,2.28,2.4,2.2,2,2.3,1.9,2.5,2,1.7,2.55,2.5,2.45,2.45,2.25,1.376587628,1,0.2,23.34,0.2,1,1,0,0,48,46,41,44,2,3,1,0,0,2,0,0,0,2,29.5,44.6,9.5,4.5,0.3,1.5,0.4,7.8,4.558,3.05,3.02,2.99,3.11,2.75,2.99,3.05,0.1,0.3,0.6,0.687023475
John Dorsey,2017,CLV,10,2.210496795,157,2.22,2.2,2.15,1.95,2.05,1.95,2.1,2.8,2.1,2.15,2.45,2.15,2.3,2.15,NULL,-0.266423131,1,0.7,22.16,0.3,0.8,1,0,0,50,45,40,50,1,3,1,1,0,1,1,0,1,1,22.7,32.6,9.2,0,0,0,0,4.3,3.016,2.04,2.35,2.28,2.52,2.12,2.15,2.35,0.3,0.2,0.5,0.770301423
John Dorsey,2018,CLV,9,2.341003964,210,2.466666,2.388888,2.222222,1.966666,2.088888,2.277777,1.888888,2.866666,2.2,2.144444,2.555555,2.333333,2.033333,2.422222,NULL,2.083394087,0.777777778,0.222222222,22.955555,0.333333333,0.666666667,1,0,0,50,53,47,37,1,1,0,1,0,2,1,0,1,0,30.22222222,40.44444444,8.777777778,0,0,0.222222222,0,4.777777778,3.511111,2.055555,2.355555,2.066666,2.433333,1.944444,2.166666,2.344444,0.222222222,0.333333333,0.444444444,0.706545475
John Dorsey,2019,CLV,7,2.223809524,164,2.214285,2.428571,2.285714,2.142857,2,2.214285,2.071428,2.5,2.214285,2.214285,2.357142,2.285714,1.928571,2.142857,NULL,1.888305526,0.714285714,0.285714286,22.671428,0.428571429,0.571428571,0.857142857,0.142857143,0,43,47,54,37,1,0,0,2,1,2,0,0,0,0,25.42857143,40.71428571,8.714285714,0.571428571,1.285714286,3.142857143,0,6.428571429,4.083333,2.216666,2.916666,2.516666,3,2.433333,2.116666,2.85,0,0.285714286,0.714285714,0.717832683
Andrew Berry,2020,CLV,7,2.27033428,186,2.071428,2.542857,2.857142,2.428571,2.285714,2.142857,1.928571,2.785714,1.928571,2.5,2.314285,2.357142,2.185714,2.285714,2.214285,0.360031244,1,0.714285714,21.871428,0.285714286,0.857142857,1,0,0,50,57,57,50,2,1,0,1,1,0,0,0,0,1,29.85714286,40.57142857,5,2.142857143,2,2.285714286,1.142857143,9.857142857,3.984285,2.757142,3.071428,3.085714,3.128571,2.8,2.985714,2.9,0.142857143,0.428571429,0.428571429,0.748344013
Andrew Berry,2021,CLV,8,2.451011029,236,2.4375,2.4125,2.5625,2.375,2.125,2.5625,2.125,2.8125,2.375,2.0625,2.6875,2.275,2.475,2.525,2.4375,-1.915534799,1,0.625,22.075,0.375,0.875,1,0,0,65,69,60,50,1,1,0,2,1,1,1,0,0,0,21.625,32.875,12.75,3.625,2.125,0.5,1,8.875,3.8575,2.65,2.65,2.6875,3.2625,2.475,2.6625,2.875,0.125,0.25,0.625,0.67198102
Andrew Berry,2022,CLV,9,2.248946986,178,2.5,2.255555,2.333333,2.222222,1.666666,2.111111,2.111111,2.666666,2.111111,1.777777,2.666666,2.222222,2.388888,2.444444,2.5,-0.348454011,1,0.555555556,22.422222,0.333333333,0.777777778,1,0,0,37,40,36,59,1,3,2,0,0,1,1,0,0,0,22.44444444,36,7.555555556,0.888888889,1.555555556,0.333333333,0.777777778,7.222222222,4.3375,2.925,3.075,3.025,3.0625,2.6625,2.8875,3.05,0,0.333333333,0.666666667,0.728512275
Andrew Berry,2023,CLV,7,2.539584255,249,2.5,2.671428,2.571428,2.571428,2.285714,2.428571,2.285714,3.142857,2.285714,2,2.642857,2.428571,2.571428,2.642857,2.271428,1.621036309,1,0.428571429,22.642857,0.285714286,1,1,0,0,44,37,51,55,2,2,1,0,0,1,0,0,1,0,28.71428571,41,8.142857143,1.571428571,2.142857143,0.857142857,1,8.285714286,3.988571,3.014285,3.128571,3.228571,2.728571,2.657142,2.957142,3.071428,0,0.285714286,0.714285714,0.773289013
Andrew Berry,2024,CLV,6,2.669315445,256,2.75,2.633333,2.666666,2.833333,2.333333,2.833333,2.666666,3.166666,2.666666,2.166666,2.833333,2.583333,2.416666,2.5,2.7,0.037140157,0.833333333,0.333333333,23,0.5,0.833333333,0.833333333,0.166666667,0,47,45,59,47,1,2,0,1,0,1,0,0,0,0,32.16666667,44.5,10.16666667,3.166666667,0.666666667,1.833333333,0.833333333,7,4.68,3.016666,3,3.083333,3.2,2.833333,3.05,3.066666,0,0.333333333,0.666666667,0.705369757
Jerry Jones,2017,DAL,9,2.301879085,195,2.166666,2.411111,2.533333,1.944444,2.077777,2.411111,2.411111,3.111111,2.444444,1.966666,2.366666,1.922222,2.422222,2.033333,NULL,0.491502787,0.777777778,0.111111111,22.466666,0.444444444,0.888888889,1,0,0,56,40,64,61,0,3,0,0,2,2,0,0,0,0,27.44444444,41.66666667,4.666666667,0,0,0,0,5,4.48,2.366666,2.844444,2.911111,2.766666,2.111111,2.322222,2.4,0.111111111,0.222222222,0.666666667,0.755355988
Jerry Jones,2018,DAL,9,2.260493827,182,2.277777,2.466666,2.222222,1.966666,1.966666,2.244444,2.244444,2.577777,2.022222,2.222222,2.444444,2.277777,2.166666,2.277777,NULL,0.348076818,1,0.555555556,22.5,0.333333333,0.555555556,1,0,0,31,38,38,63,1,1,1,2,0,0,1,0,1,1,22.33333333,32.44444444,10.44444444,0,0,1.333333333,0,6.444444444,4.095555,2.333333,2.966666,2.7,2.511111,2.2,2.288888,2.455555,0.111111111,0.222222222,0.666666667,0.81250963
Jerry Jones,2019,DAL,8,2.5,245,2.6875,2.375,2.6875,2.375,1.875,2.625,2.5,2.9375,2.3125,2.0625,2.8125,2.625,2.75,2.4375,NULL,-0.403228386,1,0.625,22.55,0.25,0.75,1,0,0,36,36,38,56,1,3,1,0,1,1,2,0,0,0,25,40.875,10.125,2.75,0.75,1.875,0,6.875,4.20875,2.5375,2.675,2.775,2.5375,2.2375,2.2375,2.5875,0,0.25,0.75,0.700149157
Jerry Jones,2020,DAL,7,2.140070765,125,2,1.985714,2,2,1.714285,2,1.857142,2.142857,1.714285,2.142857,2.428571,1.857142,2.071428,2.071428,2.357142,0.383794853,0.857142857,0.285714286,22.685714,0.428571429,0.714285714,0.857142857,0.142857143,0,46,40,50,50,1,2,1,0,1,1,0,0,1,0,34.28571429,45.14285714,12.71428571,2.285714286,2,0.714285714,0.857142857,9.142857143,3.56,2.585714,2.771428,2.671428,2.871428,2.242857,2.485714,2.628571,0.142857143,0.285714286,0.571428571,0.752578516
Jerry Jones,2021,DAL,11,2.315204181,201,2.272727,2.136363,2.181818,2.5,2.045454,2.136363,2.136363,2.5,2.136363,2.136363,2.436363,2.40909,2.318181,2.227272,2.636363,-0.000524123,0.909090909,0.454545455,22.945454,0.272727273,0.909090909,1,0,0,29,47,32,41,2,3,0,2,0,3,0,0,0,0,22.18181818,34.63636364,8.454545455,1.454545455,1.090909091,0.363636364,0.818181818,8.181818182,4.102727,2.827272,3.018181,2.936363,2.936363,2.70909,2.863636,2.945454,0.090909091,0.363636364,0.545454545,0.650541247
Jerry Jones,2022,DAL,9,2.32832244,205,2.388888,2.211111,2.111111,2.166666,1.833333,2.277777,2.222222,3.111111,2.055555,2.111111,2.611111,2.166666,2.333333,2.277777,2.666666,3.082327016,0.777777778,0.222222222,23.055555,0.666666667,0.555555556,0.888888889,0.111111111,0,42,41,40,45,2,2,1,2,0,1,0,0,0,1,28.22222222,42,6.888888889,2.222222222,0.111111111,0.222222222,0.444444444,7.555555556,4.563333,2.933333,3.111111,3.1,3.077777,2.788888,2.888888,3.177777,0.111111111,0.222222222,0.666666667,0.718128768
Jerry Jones,2023,DAL,8,2.218627451,161,2.3625,2.1625,2.125,2.125,1.875,1.875,1.875,2.375,2,2.125,2.5625,2.3125,2.1875,2.625,2.625,0.994340091,0.875,0.25,23.5125,0.25,0.75,1,0,0,51,41,46,55,1,2,0,1,0,1,1,0,0,1,31.625,42.875,8,1.25,0.625,0.375,0.75,7.875,4.3625,2.975,2.85,2.9,3.0125,2.7875,2.9875,3.225,0.125,0.25,0.625,0.64038337
Jerry Jones,2024,DAL,8,2.417647059,228,2.75,2.4125,2.75,2.375,1.875,2.25,2.125,3,2.125,2.25,2.8125,2.25,2.25,2.375,2.5625,1.635133216,1,0.5,23.325,0.5,0.625,0.875,0.125,0,48,27,46,51,3,2,1,1,0,1,0,0,0,0,27.125,38.25,15.125,4.5,0.375,0.25,0.875,6.75,4.75375,3.15,3.1625,3.3,2.8,2.85,2.7875,3.275,0.125,0.375,0.5,0.685110009
John Elway,2017,DEN,8,2.495206226,244,2.6875,2.3875,2.125,1.975,1.775,2.5375,2.375,2.9625,2.25,2.25,2.6875,2.9625,2.625,2.825,NULL,0.822388,0.875,0.375,23.3125,0.25,0.625,0.875,0.125,0,56,61,63,37,1,1,0,0,0,1,1,0,1,1,26.125,36.625,3.25,0,0,0,0,4.125,4.04625,2.1,2.325,2.0875,2.9875,1.975,2.2125,2.4625,0.125,0.375,0.5,0.845124234
John Elway,2018,DEN,10,1.719401238,8,1.61,1.7,1.78,1.59,1.68,1.74,1.69,1.84,1.52,1.76,1.73,1.79,1.72,1.75,NULL,-1.27291989,0.9,0.2,23.06,0.3,0.9,1,0,0,42,39,56,64,1,1,1,2,0,1,2,0,0,1,34.7,45.4,6.7,0,0,1.7,0,5.6,4.143,2.51,2.84,2.66,2.6,1.88,2.2,2.15,0.1,0.3,0.6,0.700796215
John Elway,2019,DEN,6,2.405274972,227,2.216666,2.616666,2.75,2.666666,2.383333,2.416666,2.25,2.666666,2.416666,2.166666,2.75,2.083333,2.083333,2.25,NULL,1.733875419,0.833333333,0.333333333,22.983333,0.333333333,1,1,0,0,39,50,37,40,1,2,1,0,0,0,0,0,1,1,31.83333333,41.83333333,9.833333333,3.333333333,1.333333333,1.666666667,0,7,3.841666,2.066666,2.483333,2.25,2.7,2.233333,2.783333,2.5,0.166666667,0.5,0.333333333,0.747495594
John Elway,2020,DEN,10,2.244620743,176,2.3,2.2,2.15,2.1,2.1,2.05,1.95,2.35,2.05,2.35,2.48,2.03,2.17,1.98,2.5,0.929916062,1,0.5,22.6,0.4,0.8,0.9,0.1,0,49,54,46,53,2,2,1,1,0,1,0,0,0,1,26.7,40.4,12.3,3.6,4.6,0.9,1.2,9.3,4.405,2.72,3.03,2.87,3.15,2.74,3.03,3.05,0.1,0.4,0.5,0.742311233
George Paton,2021,DEN,10,2.328970588,206,2.55,2.22,2.65,2,1.95,2.35,2.05,2.6,2.35,1.75,2.63,2.2,2.17,2.25,2.45,3.335877855,1,0.5,22.33,0.3,0.9,0.9,0,0,52,48,54,38,1,3,2,0,2,2,1,0,0,0,20.4,38.2,4.9,3.4,0.3,0.8,1.4,9.4,4.129,2.81,2.97,2.91,2.89,2.77,2.88,2.92,0.1,0.3,0.6,0.685007137
George Paton,2022,DEN,9,2.097458243,101,2.222222,2.033333,2,2,1.777777,1.888888,1.888888,2.444444,2,2,2.388888,2.111111,2.055555,2.111111,2.466666,3.059895705,0.666666667,0.222222222,23.477777,0.222222222,0.888888889,0.888888889,0.111111111,0,55,55,51,50,1,3,1,0,1,2,0,0,0,1,32.77777778,45.44444444,13.33333333,3.555555556,0.444444444,1.444444444,1,7.222222222,4.734444,3.077777,3,3.077777,3.511111,2.655555,3.011111,3.033333,0,0.222222222,0.777777778,0.651538754
George Paton,2023,DEN,5,1.625882353,3,1.54,1.46,1.8,1.6,1.6,1.4,1.8,2.4,1.4,1.8,1.7,1.6,1.6,1.6,1.5,1.592631804,1,0.4,22.92,0.4,0.8,1,0,0,34,50,58,41,1,0,0,1,1,1,0,0,0,0,27.4,42.8,9.2,3.6,0.2,0.2,0.6,9,4.178,3.04,2.96,2.84,3.38,2.64,2.98,2.82,0,0.6,0.4,0.734159869
George Paton,2024,DEN,7,1.986937933,58,1.857142,1.928571,1.714285,2,1.714285,1.714285,1.714285,2,2,1.714285,2.071428,2.071428,2.142857,1.857142,2.028571,1.424633371,1,0.428571429,23.171428,0.285714286,1,1,0,0,44,61,38,58,1,1,1,0,0,1,1,0,1,0,32,42.85714286,5.285714286,2.714285714,0.285714286,1.142857143,1,7.285714286,4.464285,3.057142,3.157142,3.114285,3.342857,2.557142,2.9,2.885714,0.142857143,0.142857143,0.714285714,0.760504531
Bob Quinn,2017,DET,9,2.068066578,91,2.055555,2.055555,1.888888,1.777777,1.611111,2.111111,2.166666,2.625,2.0625,1.8125,2.166666,2.375,2.25,2.111111,NULL,1.182142287,0.777777778,0.222222222,22.855555,0.111111111,0.555555556,0.888888889,0.111111111,0,45,50,47,47,0,2,0,2,0,2,0,0,1,1,29.33333333,38.55555556,5.555555556,0,0,0,0,3.333333333,4.44,2.377777,2.9,2.833333,2.733333,2.133333,2.233333,2.288888,0.111111111,0.222222222,0.666666667,0.813142973
Bob Quinn,2018,DET,6,2.138829564,123,2.216666,2.133333,2.216666,2.233333,2.216666,1.833333,1.833333,2.566666,2,2.083333,2.183333,2.533333,2,2.133333,NULL,1.444934194,1,0.166666667,22.516666,0.666666667,0.666666667,1,0,0,40,45,19,34,2,1,0,0,1,0,1,0,0,0,27.33333333,43.33333333,7.666666667,0,0,2.333333333,0,5.833333333,3.941666,2.3,2.916666,2.55,2.566666,2.15,2.433333,2.45,0.166666667,0.333333333,0.5,0.724681289
Bob Quinn,2019,DET,9,2.043936093,78,1.977777,1.966666,2.111111,2.255555,1.855555,1.944444,2.022222,2.444444,1.811111,2.111111,1.866666,2.144444,1.866666,1.911111,NULL,-0.359144351,0.777777778,0.333333333,22.955555,0.333333333,0.777777778,1,0,0,44,28,52,60,0,2,0,1,1,1,1,0,0,2,27.44444444,41.22222222,9.666666667,2.333333333,0.444444444,1.222222222,0,7.555555556,4.214444,2.522222,3.033333,2.777777,2.644444,2.222222,2.377777,2.566666,0.111111111,0.222222222,0.666666667,0.687116016
Bob Quinn,2020,DET,9,2.266326839,184,2.555555,2.255555,2.222222,2,2.055555,2.166666,2.111111,2.666666,2.111111,1.944444,2.477777,2.366666,2.388888,2.577777,2.111111,0.813203359,0.777777778,0.333333333,22.755555,0.222222222,0.888888889,1,0,0,57,60,50,54,2,3,1,0,0,1,2,0,0,0,22.77777778,43.55555556,9.222222222,2.222222222,2.666666667,0.333333333,1,9,3.853333,2.766666,2.755555,2.844444,2.966666,2.622222,2.733333,2.833333,0.111111111,0.333333333,0.555555556,0.725332632
Brad Holmes,2021,DET,7,2.010644258,63,1.928571,1.928571,1.714285,2.142857,1.857142,1.857142,2,2.285714,2,1.857142,2.285714,2,2.071428,1.928571,2.142857,1.895557335,1,0.714285714,21.942857,0.428571429,1,1,0,0,55,37,47,55,1,2,0,1,0,1,1,0,0,0,21.14285714,32.42857143,6.428571429,2.285714286,0.142857143,0.714285714,0.571428571,9,3.328571,2.557142,2.685714,2.714285,2.642857,2.614285,2.685714,2.642857,0.142857143,0.428571429,0.428571429,0.76089712
Brad Holmes,2022,DET,8,2.288996388,191,2.5,2.0625,2.1875,2.3125,1.8125,2.1875,2.0625,2.4375,2.1875,2.0625,2.5625,2.4375,2.5,2.375,2.25,3.133021631,0.875,0.25,23.1,0.125,0.875,0.875,0.125,0,55,58,55,50,0,3,2,1,1,1,0,0,0,1,29,46.125,8.25,4.375,0.25,0.25,1.125,7.625,4.03625,2.8625,2.875,2.85,3.2125,2.5375,2.775,2.8375,0.25,0.25,0.5,0.728179544
Brad Holmes,2023,DET,8,2.034313725,71,2.0375,2,1.875,2,1.875,2,2,2.625,2,1.75,2.375,1.9375,1.8125,1.75,2.4125,1.282564448,0.75,0.25,23.2625,0.125,0.75,0.875,0.125,0,45,46,46,53,1,1,0,1,1,0,1,0,1,1,31,44.375,7.125,2.625,0.75,0.125,1.125,7,3.83875,2.85,2.9,2.9,3.0375,2.5875,2.775,2.7125,0.25,0.5,0.25,0.745152297
Brad Holmes,2024,DET,6,2.389803922,223,2.3,2.26,2.8,2.4,1.6,2.4,2.2,2.8,2.4,2.2,2.8,2.4,2.5,2.2,2.4,3.642926833,0.833333333,0.666666667,22.6,0.166666667,0.833333333,0.833333333,0,0,56,51,60,54,2,1,0,0,0,2,1,0,0,0,21.5,26,10.66666667,5,0.333333333,1.166666667,1.166666667,7,4.433333,2.933333,2.85,2.966666,3.016666,2.683333,2.85,3.166666,0.166666667,0.166666667,0.666666667,0.777777921
Ted Thompson,2017,GB,10,2.289814815,193,2.15,2.4,2.58,2.38,2.03,2.03,2.2,2.7,2.1,2.25,2.42,2.15,2.05,2.2,NULL,3.18945924,0.7,0.3,22.78,0.3,0.6,1,0,0,37,40,43,41,1,2,1,0,1,1,3,0,0,0,29.5,39.9,3.9,0,0,0,0,3.8,4.601,2.71,2.86,2.59,2.87,2.06,2.4,2.73,0,0.3,0.7,0.713384994
Brian Gutekunst,2018,GB,11,2.351769332,215,2.272727,2.60909,2.390909,2.336363,2.072727,2.60909,2.363636,3.018181,2.090909,2.2,2.390909,2.136363,2.181818,2.136363,NULL,4.264372724,0.818181818,0.272727273,23,0.363636364,0.818181818,0.909090909,0.090909091,0,35,52,45,47,1,2,1,1,0,2,0,0,0,0,24.27272727,39.72727273,10,0,0,0.909090909,0,3.818181818,4.418181,2.336363,2.60909,2.354545,3.1,2.345454,2.945454,2.627272,0.090909091,0.181818182,0.727272727,0.715919277
Brian Gutekunst,2019,GB,8,2.308788314,198,2.25,2.15,2.5625,2.375,2.375,2.1875,2.0625,2.3125,2.3125,2,2.1875,2.5,2.25,2.375,NULL,3.576669642,0.875,0.25,23.1,0.5,0.875,1,0,0,50,40,40,35,1,2,0,1,1,1,1,0,0,1,26.75,41.75,9.625,3,2,2.75,0,6.5,4.15,2.4,2.4625,2.425,2.9,2.5,2.5875,2.4875,0.25,0.25,0.5,0.774073804
Brian Gutekunst,2020,GB,9,2.281733746,189,2.333333,2.422222,1.888888,2.444444,2.111111,2,2.111111,2.666666,2.111111,2.222222,2.277777,2.666666,1.944444,2.5,2.277777,2.392221256,0.888888889,0.333333333,22.633333,0.222222222,0.777777778,1,0,0,41,48,44,55,3,2,2,0,1,0,1,0,1,1,27.88888889,41.66666667,12.66666667,5,4.555555556,2.222222222,0.888888889,7.888888889,4.983333,3.211111,3.433333,3.277777,3.166666,2.733333,2.866666,2.944444,0.111111111,0.222222222,0.666666667,0.707983224
Brian Gutekunst,2021,GB,9,2.176650525,145,2.277777,2.033333,2.333333,2,2,2.111111,2,2.666666,2.111111,2,2.25,2.125,2.166666,2.277777,2.355555,0.874099067,0.888888889,0.333333333,23.011111,0.333333333,0.888888889,1,0,0,48,45,55,45,3,1,0,1,0,2,1,0,0,0,23.33333333,43.11111111,11.77777778,1.888888889,1,0.666666667,1.333333333,7.777777778,4.202222,3,3.022222,2.966666,3.044444,2.522222,2.8,2.833333,0.111111111,0.222222222,0.666666667,0.733525523
Brian Gutekunst,2022,GB,11,2.631825609,253,2.5,2.790909,2.818181,3.090909,2.181818,2.545454,2.272727,3.090909,2.454545,2.454545,2.772727,2.181818,2.636363,2.40909,2.863636,2.860076969,0.818181818,0.272727273,23.181818,0.454545455,0.818181818,0.909090909,0.090909091,0,40,42,50,41,3,3,1,2,0,0,0,0,0,0,30.72727273,46.45454545,5.272727273,1.909090909,0.272727273,1.727272727,0.818181818,7.545454545,4.188181,2.918181,2.927272,2.954545,2.936363,2.954545,3.045454,3.227272,0.181818182,0.181818182,0.636363636,0.64251679
Brian Gutekunst,2023,GB,13,2.226847662,166,2.092307,2.246153,2.307692,2.076923,1.76923,2.076923,2.076923,2.846153,1.923076,2.230769,2.307692,2.26923,2.192307,2.115384,2.538461,1.585867715,0.769230769,0.461538462,23.053846,0.384615385,0.692307692,0.923076923,0.076923077,0,43,45,53,47,0,3,1,0,1,1,1,0,1,2,26.92307692,40.53846154,10.69230769,3,0.076923077,0.538461538,1,7.769230769,4.713076,3.05,3.141666,3.183333,3.091666,2.683333,3.016666,3.058333,0.076923077,0.230769231,0.692307692,0.70030649
Brian Gutekunst,2024,GB,11,2.137001898,122,1.981818,2.145454,1.818181,2.090909,1.863636,1.681818,2.136363,2.363636,2.045454,1.954545,2.290909,2.163636,2.018181,2.2,2.40909,2.044247592,0.909090909,0.363636364,23.063636,0.727272727,0.818181818,1,0,0,47,41,56,49,3,0,0,2,3,1,1,0,1,0,35.27272727,46.45454545,8.272727273,2.363636364,0.090909091,0.272727273,1.090909091,6.818181818,4.218181,2.918181,2.954545,2.954545,3.2,2.60909,2.818181,2.936363,0.090909091,0.363636364,0.545454545,0.626450695
Rick Smith,2017,HST,7,2.08531746,97,1.928571,2.071428,2.071428,2.214285,1.642857,1.928571,2.071428,2.714285,2.071428,1.857142,2.071428,2.071428,2,2.071428,NULL,-0.015291764,1,0.428571429,22.871428,0.428571429,0.857142857,0.857142857,0.142857143,0,27,31,15,57,2,1,0,1,0,1,1,0,1,0,29.28571429,40.14285714,3.428571429,0,0,0,0,3.285714286,4.352857,1.957142,2.971428,2.671428,2.571428,2.242857,2.528571,2.771428,0.142857143,0.285714286,0.571428571,0.785582294
